20120205_NYG@NE,3,22,34,NYG,NE,1,10,25,(7:34) (Shotgun) E.Manning pass incomplete short left to H.Nicks (P.Chung).,9,17,2011
20120205_NYG@NE,3,22,28,NYG,NE,2,10,25,(7:28) (Shotgun) E.Manning pass incomplete short middle to J.Ballard [R.Ninkovich].,9,17,2011
20120205_NYG@NE,3,22,24,NYG,NE,3,10,25,(7:24) (Shotgun) E.Manning pass short left to M.Manningham to NE 20 for 5 yards (S.Moore).,9,17,2011
20120205_NYG@NE,3,21,47,NYG,NE,4,5,20,(6:47) L.Tynes 38 yard field goal is GOOD Center-Z.DeOssie Holder-S.Weatherford.,9,17,2011
20120205_NYG@NE,3,21,47,NYG,NE,,,20,L.Tynes kicks 69 yards from NYG 35 to NE -4. J.Edelman to NE 17 for 21 yards (S.Paysinger).,12,17,2011
20120205_NYG@NE,3,21,37,NE,NYG,1,10,83,(6:37) B.Green-Ellis right end to NE 19 for 2 yards (C.Blackburn). NYG-J.Pierre-Paul was injured during the play. His return is Probable.,17,12,2011
20120205_NYG@NE,3,21,12,NE,NYG,2,8,81,(6:12) (Run formation) T.Brady pass incomplete short right to B.Green-Ellis.,17,12,2011
20120205_NYG@NE,3,21,12,NE,NYG,3,8,81,(6:12) (Shotgun) T.Brady sacked at NE 15 for -4 yards (J.Tuck).,17,12,2011
20120205_NYG@NE,3,21,12,NE,NYG,4,12,85,(6:12) Z.Mesko punts 43 yards to NYG 42 Center-D.Aiken. W.Blackmon to NE 48 for 10 yards (M.Slater).,17,12,2011
20120205_NYG@NE,3,20,36,NYG,NE,1,10,48,(5:36) (Run formation) B.Jacobs right guard to NE 47 for 1 yard (S.Ellis; B.Spikes).,12,17,2011
20120205_NYG@NE,3,20,1,NYG,NE,2,9,47,(5:01) (Run formation) E.Manning pass short right to H.Nicks to NE 30 for 17 yards (J.Mayo). FUMBLES (J.Mayo) recovered by NYG-H.Hynoski at NE 34. H.Hynoski to NE 33 for 1 yard (J.Ihedigbo).,12,17,2011
20120205_NYG@NE,3,19,17,NYG,NE,1,10,33,(4:17) B.Jacobs right guard to NE 26 for 7 yards (B.Spikes).,12,17,2011
20120205_NYG@NE,3,18,45,NYG,NE,2,3,26,(3:45) (Run formation) B.Jacobs up the middle to NE 23 for 3 yards (V.Wilfork).,12,17,2011
20120205_NYG@NE,3,18,7,NYG,NE,1,10,23,(3:07) (Run formation) E.Manning pass short middle to B.Pascoe to NE 11 for 12 yards (J.Mayo).,12,17,2011
20120205_NYG@NE,3,17,33,NYG,NE,1,10,11,(2:33) (Run formation) A.Bradshaw left guard to NE 9 for 2 yards (M.Anderson).,12,17,2011
20120205_NYG@NE,3,16,53,NYG,NE,2,8,9,(1:53) (Shotgun) A.Bradshaw up the middle to NE 9 for no gain (G.Warren).,12,17,2011
20120205_NYG@NE,3,16,14,NYG,NE,3,8,9,(1:14) (Shotgun) E.Manning sacked at NE 15 for -6 yards (sack split by R.Ninkovich and M.Anderson).,12,17,2011
20120205_NYG@NE,3,15,40,NYG,NE,4,14,15,(:40) L.Tynes 33 yard field goal is GOOD Center-Z.DeOssie Holder-S.Weatherford.,12,17,2011
20120205_NYG@NE,3,15,40,NYG,NE,,,15,L.Tynes kicks 74 yards from NYG 35 to NE -9. J.Edelman Touchback.,15,17,2011
20120205_NYG@NE,3,15,35,NE,NYG,1,10,80,(:35) (Shotgun) T.Brady pass incomplete short right to A.Hernandez (M.Boley).,17,15,2011
20120205_NYG@NE,3,15,31,NE,NYG,2,10,80,(:31) (Shotgun) T.Brady pass short left to D.Branch pushed ob at NE 31 for 11 yards (D.Grant).,17,15,2011
20120205_NYG@NE,3,15,1,NE,NYG,1,10,69,(:01) (Shotgun) B.Green-Ellis up the middle to NE 38 for 7 yards (R.Bernard).,17,15,2011
20120205_NYG@NE,4,15,0,NE,NYG,2,3,62,(15:00) B.Green-Ellis left tackle to NE 43 for 5 yards (M.Boley).,17,15,2011
20120205_NYG@NE,4,14,31,NE,NYG,1,10,57,(14:31) (No Huddle Shotgun) T.Brady pass deep left intended for R.Gronkowski INTERCEPTED by C.Blackburn [J.Pierre-Paul] at NYG 8. C.Blackburn to NYG 8 for no gain (R.Gronkowski).,17,15,2011
20120205_NYG@NE,4,14,17,NYG,NE,1,10,92,(14:17) (Run formation) E.Manning pass incomplete deep right to H.Nicks.,15,17,2011
20120205_NYG@NE,4,14,12,NYG,NE,2,10,92,(14:12) (Run formation) A.Bradshaw right end to NYG 13 for 5 yards (B.Spikes). FUMBLES (B.Spikes) recovered by NYG-C.Snee at NYG 11. C.Snee to NYG 11 for no gain (V.Wilfork).,15,17,2011
20120205_NYG@NE,4,13,23,NYG,NE,3,7,89,(13:23) (Shotgun) E.Manning pass incomplete short left to V.Cruz. PENALTY on NE-R.Ninkovich Defensive Offside 5 yards enforced at NYG 11 - No Play.,15,17,2011
20120205_NYG@NE,4,13,18,NYG,NE,3,2,84,(13:18) (Shotgun) E.Manning pass short left to H.Nicks to NYG 28 for 12 yards (D.McCourty).,15,17,2011
20120205_NYG@NE,4,12,44,NYG,NE,1,10,72,(12:44) (Run formation) A.Bradshaw up the middle to NYG 30 for 2 yards (R.Ninkovich).,15,17,2011
20120205_NYG@NE,4,12,3,NYG,NE,2,8,70,(12:03) (Shotgun) E.Manning pass short left to V.Cruz to NYG 37 for 7 yards (K.Arrington). NYG-J.Ballard was injured during the play.,15,17,2011
